sampleid	LibraryName	SampleName	Subject_ID
SRR13191679	S.170808.00153	S.170808.00153_184	CDM_129
SRR13191678	S.170808.00155	S.170808.00155_334	CDM_180
SRR13191677	S.170808.00156	S.170808.00156_447	CDM_181
SRR13191676	S.170808.00158	S.170808.00158_213	CDM_182
SRR13191675	S.170808.00160	S.170808.00160_247	CDM_183
SRR13191674	S.170808.00161	S.170808.00161_33	CDM_184
SRR13191673	S.170808.00165	S.170808.00165_609	CDM_186
SRR13191672	S.170808.00167	S.170808.00167_569	CDM_187
SRR13191671	S.170808.00169	S.170808.00169_488	CDM_188
SRR13191670	S.170808.00171	S.170808.00171_465	CDM_189
SRR13191668	S.170808.00173	S.170808.00173_639	CDM_190
SRR13191667	S.170808.00175	S.170808.00175_509	CDM_191
SRR13191666	S.170808.00177	S.170808.00177_237	CDM_192
SRR13191665	S.170808.00179	S.170808.00179_93	CDM_193
SRR13191664	S.170808.00181	S.170808.00181_138	CDM_194
SRR13191663	S.170808.00183	S.170808.00183_339	CDM_195
SRR13191662	S.170808.00185	S.170808.00185_461	CDM_162
SRR13191661	S.170808.00186	S.170808.00186_278	CDM_196
SRR13191660	S.170808.00188	S.170808.00188_362	CDM_197
SRR13191659	S.170808.00190	S.170808.00190_212	CDM_78
SRR13191657	S.170808.00192	S.170808.00192_505	CDM_198
SRR13191656	S.170808.00193	S.170808.00193_166	CDM_199
SRR13191655	S.170808.00195	S.170808.00195_69	CDM_200
SRR13191654	S.170808.00197	S.170808.00197_81	CDM_201
SRR13191653	S.170808.00198	S.170808.00198_570	CDM_202
SRR13191652	S.170808.00200	S.170808.00200_275	CDM_203
SRR13191651	S.170808.00202	S.170808.00202_365	CDM_204
SRR13191650	S.170808.00204	S.170808.00204_482	CDM_205
SRR13191649	S.170808.00206	S.170808.00206_73	CDM_206
SRR13191648	S.170808.00207	S.170808.00207_241	CDM_207
SRR13191727	S.170811.00405	S.170811.00405_154	CDM_529
SRR13191726	S.170811.00407	S.170811.00407_36	CDM_530
SRR13191725	S.170811.00409	S.170811.00409_194	CDM_531
SRR13191724	S.170811.00411	S.170811.00411_634	CDM_532
SRR13191723	S.170811.00413	S.170811.00413_579	CDM_533
SRR13191721	S.170811.00415	S.170811.00415_611	CDM_534
SRR13191720	S.170811.00417	S.170811.00417_159	CDM_535
SRR13191719	S.170811.00418	S.170811.00418_46	CDM_444
SRR13191718	S.170811.00420	S.170811.00420_279	CDM_536
SRR13191717	S.170811.00422	S.170811.00422_349	CDM_537
SRR13191716	S.170811.00424	S.170811.00424_201	CDM_538
SRR13191715	S.170811.00425	S.170811.00425_133	CDM_539
SRR13191714	S.170811.00427	S.170811.00427_317	CDM_540
SRR13191713	S.170811.00429	S.170811.00429_16	CDM_541
SRR13191712	S.170811.00432	S.170811.00432_420	CDM_300
SRR13191710	S.170811.00434	S.170811.00434_498	CDM_542
SRR13191709	S.170811.00436	S.170811.00436_426	CDM_283
SRR13191708	S.170811.00438	S.170811.00438_284	CDM_543
SRR13191707	S.170811.00440	S.170811.00440_601	CDM_544
SRR13191706	S.170811.00441	S.170811.00441_355	CDM_545
SRR13191705	S.170811.00443	S.170811.00443_190	CDM_546
SRR13191704	S.170811.00445	S.170811.00445_529	CDM_547
SRR13191753	DNAfreewater11	DNAfreewater11_664	Control
SRR13191429	DNAfreewater14	DNAfreewater14_619	Control
SRR13191414	DNAfreewater2	DNAfreewater2_653	Control
SRR13191786	Extractblankswab12	Extractblankswab12_618	Control
SRR13191775	Extractblankswab13	Extractblankswab13_416	Control
SRR13191764	Extractblankswab14	Extractblankswab14_638	Control
SRR13191752	Extractblankswab2	Extractblankswab2_121	Control
SRR13191800	Extractemptywell14	Extractemptywell14_626	Control
SRR13191428	S.170727.00004	S.170727.00004_337	CDM_1
SRR13191417	S.170804.00650	S.170804.00650_396	CDM_2
SRR13191413	S.170804.00668	S.170804.00668_553	CDM_12
SRR13191402	S.170804.00670	S.170804.00670_110	CDM_13
SRR13191790	S.170808.00039	S.170808.00039_64	CDM_122
